id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1604989828114051072,1604989828114051072,2022-12-19 23:59:28 UTC,2022-12-19,23:59:28,+0000,1046084008742801408,collegemenfess,COLLE OPFOLL 20.00 WIB | CEK PINNED😎,,[cm] iri banget liat temenku yang dospem nya bisa diajak kerja sama trs tiap bimbingan detail bgt dan peduli sama penelitian anak bimbingnya😭 guys semangatin sender karna dospemnya bikin shsksjfjwllasuruiejwbsbdhduis,in,[],[],[],4,1,8,[],[],https://twitter.com/collegemenfess/status/1604989828114051072,False,,0,,,,,,,,[],,,,
1604989405382729728,1604989405382729728,2022-12-19 23:57:48 UTC,2022-12-19,23:57:48,+0000,1046084008742801408,collegemenfess,COLLE OPFOLL 20.00 WIB | CEK PINNED😎,,[Cm] bingung bangett pilih konsentrasi apa ya? - minat di manajemen keuangan tp harus belajar extra - kurang minat di SDM tapi aku gampang ngejalaninnya  Boleh saran?,in,[],[],[],2,0,3,[],[],https://twitter.com/collegemenfess/status/1604989405382729728,False,,0,,,,,,,,[],,,,
1604988906289606657,1604988906289606657,2022-12-19 23:55:49 UTC,2022-12-19,23:55:49,+0000,1046084008742801408,collegemenfess,COLLE OPFOLL 20.00 WIB | CEK PINNED😎,,"Kalian yg kuliah kelas malem/kelas karyawan, review dongg pertemanannya kaya gmnaaa. Suka diskusi atau ngerjain tugas bareng bareng gt juga ngga?? [cm]",in,[],[],[],4,0,0,[],[],https://twitter.com/collegemenfess/status/1604988906289606657,False,,0,,,,,,,,[],,,,
1604987594282262528,1604987594282262528,2022-12-19 23:50:36 UTC,2022-12-19,23:50:36,+0000,1046084008742801408,collegemenfess,COLLE OPFOLL 20.00 WIB | CEK PINNED😎,,Cara nolak ngasih jawaban kita ke anak gg deket gimana ya? Aku agak nyesel dulu kasih perhatian ke dia.. cuma pas butuh dia cari aku huhuhu [cm],in,[],[],[],2,1,0,[],[],https://twitter.com/collegemenfess/status/1604987594282262528,False,,0,,,,,,,,[],,,,
1604987464057499648,1604987464057499648,2022-12-19 23:50:05 UTC,2022-12-19,23:50:05,+0000,1046084008742801408,collegemenfess,COLLE OPFOLL 20.00 WIB | CEK PINNED😎,,kalian tim percaya atau ngga kalo resume kita dibaca sama dosen? [cm] sender lagi menglelah dg tugas resume,in,[],[],[],5,0,7,[],[],https://twitter.com/collegemenfess/status/1604987464057499648,False,,0,,,,,,,,[],,,,
1604986970244911104,1604986970244911104,2022-12-19 23:48:07 UTC,2022-12-19,23:48:07,+0000,1046084008742801408,collegemenfess,COLLE OPFOLL 20.00 WIB | CEK PINNED😎,,"[cm] Bismillah UAS day 2, minta do'anya teman teman",in,[],[],[],2,0,5,[],[],https://twitter.com/collegemenfess/status/1604986970244911104,False,,0,,,,,,,,[],,,,
1604986741114314752,1604986741114314752,2022-12-19 23:47:12 UTC,2022-12-19,23:47:12,+0000,1046084008742801408,collegemenfess,COLLE OPFOLL 20.00 WIB | CEK PINNED😎,,"[Cm] kalau metode kualitatif untuk pengambilan data  nya kayak wawancara, observasi,dll itu udah boleh dilakuin kapan ya ? TIA",in,[],[],[],2,0,3,[],[],https://twitter.com/collegemenfess/status/1604986741114314752,False,,0,,,,,,,,[],,,,
1604986404597288961,1604986404597288961,2022-12-19 23:45:52 UTC,2022-12-19,23:45:52,+0000,1046084008742801408,collegemenfess,COLLE OPFOLL 20.00 WIB | CEK PINNED😎,,"[CM] Anak angkatan 19 udah pada lulus kah?, atau yg masih skripsian udah sampe bab berapa? 😭  https://t.co/QNrh8uJ7bX",in,[],[],['https://pbs.twimg.com/media/FkYOoPGacAMFm0l.jpg'],78,20,476,[],[],https://twitter.com/collegemenfess/status/1604986404597288961,False,,1,https://pbs.twimg.com/media/FkYOoPGacAMFm0l.jpg,,,,,,,[],,,,
1604986291707576320,1604986291707576320,2022-12-19 23:45:25 UTC,2022-12-19,23:45:25,+0000,1046084008742801408,collegemenfess,COLLE OPFOLL 20.00 WIB | CEK PINNED😎,,[cm] PPT buat sempro isinya apa aja A theard:  .,in,[],[],[],6,10,93,[],[],https://twitter.com/collegemenfess/status/1604986291707576320,False,,0,,,,,,,,[],,,,
1604986245255692288,1604986245255692288,2022-12-19 23:45:14 UTC,2022-12-19,23:45:14,+0000,1046084008742801408,collegemenfess,COLLE OPFOLL 20.00 WIB | CEK PINNED😎,,"[cm] Teman-teman yang jurusan kesehatan terumatama jurusan Fisioterapi, ada yang tau ga bedanya Close kinetik chain &amp; Open Kinetic chain itu apa? Makasih",in,[],[],[],0,0,1,[],[],https://twitter.com/collegemenfess/status/1604986245255692288,False,,0,,,,,,,,[],,,,
1604985959220592640,1604985959220592640,2022-12-19 23:44:06 UTC,2022-12-19,23:44:06,+0000,1046084008742801408,collegemenfess,COLLE OPFOLL 20.00 WIB | CEK PINNED😎,,[Cm] mungkin kalian bingung kok bisa dibantu dosen prodi lain? Karena penelitian ku ada berkaitan sama jurusan itu.  https://t.co/Mv2KF7Q4Me,in,[],[],['https://pbs.twimg.com/media/FkYOOW7aUAASIhK.jpg'],32,3,107,[],[],https://twitter.com/collegemenfess/status/1604985959220592640,False,,1,https://pbs.twimg.com/media/FkYOOW7aUAASIhK.jpg,,,,,,,[],,,,
